Date,Month,Year,costType,expenseType,itemVendor,Amount,createdAt,updatedAt,createdBy
31-Oct-23,Oct,2023,Insurance,Apartment Insurance,LEMONADE I* LEMONADE I LEMONADE.COM NY,9.59,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
31-Oct-23,Oct,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,19.84,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
31-Oct-23,Oct,2023,Utilities,Security,ADT SECURITY*404866280 WWW.ADT.COM FL,53.79,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
31-Oct-23,Oct,2023,Utilities,Security,ADT SECURITY*404866280 WWW.ADT.COM FL,3.56,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
1-Nov-23,Nov,2023,Sales Tax & CPA,Sales Tax,BUSINESS TO BUSINESS ACH CA DEPT TAX FEE CDTFA EPMT 240130 17869116 PRNG RESTO LLC,2222,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
15-Nov-23,Nov,2023,Food Cost,Groceries,NINAS INDIAN & BRITISH GR LAKE FOREST CA (groceries for chefs apt),144.01,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
16-Nov-23,Nov,2023,Food Cost,Groceries,Singla Spices,7029.46,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
20-Nov-23,Nov,2023,Food Cost,Containers,Apsic,669.5,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
21-Nov-23,Nov,2023,Food Cost,Groceries,Restaurant Depot,131.73,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
22-Nov-23,Nov,2023,Maintenance,Ice Machine Repair,Hameed,300,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
22-Nov-23,Nov,2023,Food Cost,Groceries,Singla Spices,984.96,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
22-Nov-23,Nov,2023,Food Cost,Groceries,Restaurant Depot,2112.67,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Nov-23,Nov,2023,Food Cost,Goat Meat,Pak Halal,449.5,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Nov-23,Nov,2023,Food Cost,Groceries,Restaurant Depot,406.89,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Nov-23,Nov,2023,Food Cost,Groceries,Restaurant Depot,742.46,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Nov-23,Nov,2023,Food Cost,Groceries,Pioneer Cash & Carry,102.89,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Nov-23,Nov,2023,Food Cost,Groceries,NINAS INDIAN & BRITISH GR LAKE FOREST CA,103.04,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Nov-23,Nov,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,17.36,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Nov-23,Nov,2023,Marketing,FB Marketing,FACEBK ADS 650-5434800 CA,2,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Nov-23,Nov,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,14.99,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Nov-23,Nov,2023,Food Cost,Groceries,Ranch Market,5.87,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Nov-23,Nov,2023,Food Cost,Groceries,Restaurant Depot,423.08,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Nov-23,Nov,2023,Food Cost,Groceries,Ranch Market,7.21,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Nov-23,Nov,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,11.98,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Nov-23,Nov,2023,Marketing,FB Marketing,FACEBK ADS 650-5434800 CA,2,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Nov-23,Nov,2023,Maintenance,Food Purchase,TST* BIRYANI POT EXPRESS IRVINE CA,4.3,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Nov-23,Nov,2023,Food Cost,Groceries,99 RANCH MARKET #12 IRVINE CA,7.21,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Nov-23,Nov,2023,Food Cost,Groceries,99 RANCH MARKET #12 IRVINE CA,5.87,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
26-Nov-23,Nov,2023,Food Cost,Groceries,Namastee Plaza,24.4,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
26-Nov-23,Nov,2023,Automobile,Van Gas,76 - DBA AWSS YORBA LINDA YORBA LINDA CA,37.06,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
28-Nov-23,Nov,2023,Maintenance,Opening Fees,Tamil,100,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
28-Nov-23,Nov,2023,Food Cost,Groceries,Restaurant Depot,1000.51,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
28-Nov-23,Nov,2023,Maintenance,Maintenance,BestBuy,7.53,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
28-Nov-23,Nov,2023,Food Cost,Groceries,Pioneer Cash & Carry,54.43,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
28-Nov-23,Nov,2023,Food Cost,Groceries,Pioneer Cash & Carry,67.42,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
