Date,Year,Month,cashInReport,Card2,Card,DD,UE,GH,CN,DD2,UE2,GH2,CN2,DD Fees,UE Fees,GH Fees,Catering,otherCash,Foodja,Foodja2,Foodja Fees,Zelle,Ez Cater,Ez Cater2,EzCater Fees,Relish,Relish2,Relish Fees,waiter.com,CC Fees,createdAt,updatedAt,createdBy
23-Nov-23,2023,Nov,38.75,129.74,134.98,,,,,,,,,0,0,0,0,,,,0,,,,0,,,0,,5.24,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Nov-23,2023,Nov,0,2343.44,2459.74,,,,,,,,,0,0,0,0,,,,0,,,,0,,,0,,116.3,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Nov-23,2023,Nov,76.58,2419.68,2538.7,,,,,,,,,0,0,0,0,,,,0,,,,0,,,0,,119.02,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
26-Nov-23,2023,Nov,16.25,1838.01,1930.23,,,,,,,,,0,0,0,0,,,,0,,,,0,,,0,,92.22,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
27-Nov-23,2023,Nov,88.51,1071.4,1124.2,,,,,,,,,0,0,0,0,,,,0,,,,0,,,0,,52.8,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
28-Nov-23,2023,Nov,26.59,1475.08,1547.36,,,,,,,,,0,0,0,,,,,0,,,,0,,,0,,72.28,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
29-Nov-23,2023,Nov,48.05,1229.11,1291.77,,,,,,,,,0,0,0,200,,,,0,,,,0,,,0,,62.66,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
30-Nov-23,2023,Nov,103.15,2181.46,2294.18,,,,,,,,,0,0,0,,,,,0,,,,0,,,0,,112.72,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
1-Dec-23,2023,Dec,143.93,3255.73,3423.5,,,,,,,,,0,0,0,,,,,0,,,,0,,,0,,167.77,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
2-Dec-23,2023,Dec,489.21,2911.44,3059.44,,,,,,,,,0,0,0,,,,,0,,,,0,,,0,,148,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
3-Dec-23,2023,Dec,228.3,3007.59,3160.43,,,,,,,,,0,0,0,50,,,,0,,,,0,,,0,,152.84,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
4-Dec-23,2023,Dec,273.72,1392.74,1460.71,,,,,,,,,0,0,0,,,,,0,,,,0,,,0,,67.97,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
5-Dec-23,2023,Dec,82.9,1537.55,1616.92,,,,,,,,,0,0,0,,27,,,0,,,,0,,,0,,79.37,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
6-Dec-23,2023,Dec,44.35,1869.32,1964.96,,,,,,,,,0,0,0,,,,,0,,,,0,,,0,,95.64,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
7-Dec-23,2023,Dec,225,2689.58,2826.52,,,,,,,,,0,0,0,200,,,,0,,,,0,,,0,,136.94,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
8-Dec-23,2023,Dec,591.68,3473.82,3654.76,,,,,,,,,0,0,0,1040,,,,0,,,,0,,,0,,180.94,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
9-Dec-23,2023,Dec,400,3548.24,3724.86,,,,,,,,,0,0,0,240,,,,0,,,,0,,,0,,176.62,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
10-Dec-23,2023,Dec,343.71,2777.19,2921.69,,,,,,,,,0,0,0,,,,,0,,,,0,,,0,,144.5,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
11-Dec-23,2023,Dec,175,1334.31,1400.69,,,,,,,,,0,0,0,,,,,0,,,,0,,,0,,66.38,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
12-Dec-23,2023,Dec,108.19,1113.77,1168.09,,,,,,,,,0,0,0,,,,,0,,,,0,,,0,,54.32,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
13-Dec-23,2023,Dec,66.8,1908.72,2005.16,,,,,,,,,0,0,0,,,,,0,,,,0,,,0,,96.44,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
14-Dec-23,2023,Dec,67.73,1304.33,1368.66,,,,,,,,,0,0,0,130,,,,0,,,,0,,,0,,64.33,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
15-Dec-23,2023,Dec,525.97,3807.46,3996.23,,,,,,,,,0,0,0,,,,,0,,,,0,,,0,,188.77,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
16-Dec-23,2023,Dec,209.62,3397.04,3570.38,,,,,,,,,0,0,0,347,,,,0,,,,0,,,0,,173.34,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
17-Dec-23,2023,Dec,122.74,3586.77,3765.81,,,,,735.03,,,,-735.03,0,0,1110,,,,0,,,,0,,,0,,179.04,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
18-Dec-23,2023,Dec,121.83,1751.16,1838.88,,,,,,,,,0,0,0,170,,,,0,,,,0,,,0,,87.72,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
19-Dec-23,2023,Dec,37.86,1974.15,2073.31,141.14,23.53,,,,,,,141.14,23.53,0,100,,,,0,,,,0,,,0,,99.16,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
20-Dec-23,2023,Dec,103.34,2150.78,2262.41,340.55,307.15,,,,,,,340.55,307.15,0,,,,,0,,,,0,,,0,,111.63,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
